Article title,Lead section excerpt,Prediction,Prediction probability
Psychology,"Psychology. Psychology is the science of behavior and mind, embracing all aspects of conscious and unconscious experience as well as thought. It is an academic discipline and a social science which seeks to understand individuals and groups by establishing general principles and researching specific cases. In this field, a professional practitioner or researcher is called a psychologist and can be classified as a social, behavioral, or cognitive scientist.",1,1.0
Biology,"Biology. Biology deals with the study of the many living organisms. top: E. coli bacteria and gazelle; bottom: Goliath beetle and tree fern Biology is a natural science concerned with the study of life and living organisms, including their structure, function, growth, evolution, distribution, identification and taxonomy.",1,1.0
Medicine,"Medicine. Medicine (British English ; American English ) is the science and practice of the diagnosis, treatment, and prevention of disease. The word ""medicine"" is derived from Latin medicus, meaning ""a physician"". Medicine encompasses a variety of health care practices evolved to maintain and restore health by the prevention and treatment of illness.",1,1.0
Sociology,"Sociology. Sociology is the study of social behavior or society, including its origins, development, organization, networks, and institutions. It is a social science that uses various methods of empirical investigation and critical analysis to develop a body of knowledge about social order, disorder, and change. Many sociologists aim to conduct research that may be applied directly to social policy and welfare, while others focus primarily on refining the theoretical understanding of social processes.",1,1.0
Physics,"Physics. Physics (from , from phúsis ""nature"") is the natural science that involves the study of matter and its motion and behavior through space and time, along with related concepts such as energy and force. One of the most fundamental scientific disciplines, the main goal of physics is to understand how the universe behaves.",1,1.0
Anthropology,Anthropology. Anthropology is the study of various aspects of humans within past and present societies. Social anthropology and cultural anthropology study the norms and values of societies. Linguistic anthropology studies how language affects social life. Biological or physical anthropology studies the biological development of humans.,1,1.0
Social science,"Social science. Social science is a major category of academic disciplines, concerned with society and the relationships among individuals within a society. It in turn has many branches, each of which is considered a ""social science"". The social sciences include economics, political science, human geography, demography, psychology, sociology, anthropology, archaeology, jurisprudence, history, and linguistics.",1,1.0
Neuroscience,"Neuroscience. Neuroscience (or neurobiology) is the scientific study of the nervous system. It is a multidisciplinary branch of biology, that deals with the anatomy, biochemistry, molecular biology, and physiology of neurons and neural circuits. It also draws upon fields including mathematics, pharmacology, physics, engineering, and psychology.",1,1.0
Mathematics,"Mathematics. Mathematics (from Greek μάθημα máthēma, “knowledge, study, learning”) is the study of topics such as quantity (numbers), structure, space, There is a range of views among mathematicians and philosophers as to the exact scope and definition of mathematics. Mathematicians seek out patterns and use them to formulate new conjectures.",1,1.0
Economics,"Economics. Economics (UK English: , ; US English: , ) is ""a social science concerned chiefly with description and analysis of the production, distribution, and consumption of goods and services"". Economics focuses on the behaviour and interactions of economic agents and how economies work. Consistent with this focus, textbooks often distinguish between microeconomics and macroeconomics.",1,1.0
Computer science,"Computer science. Computer science deals with the theoretical foundations of information and computation, together with practical techniques for the implementation and application of these foundations. Computer science is the study of the theory, experimentation, and engineering that form the basis for the design and use of computers.",1,1.0
Engineering,"Engineering. Engineering is the application of mathematics and scientific, economic, social, and practical knowledge in order to invent, innovate, design, build, maintain, research, and improve structures, machines, tools, systems, components, materials, processes, solutions, and organizations. The discipline of engineering is extremely broad and encompasses a range of more specialized fields of engineering, each with a more specific emphasis on particular areas of applied science, technology and types of application.",1,1.0
Ecology,"Ecology. Ecology (from , ""house"", or ""environment""; -λογία, ""study of"") is the scientific analysis and study of interactions among organisms and their environment. It is an interdisciplinary field that includes biology, geography, and Earth science. Ecology includes the study of interactions that organisms have with each other, other organisms, and with abiotic components of their environment.",1,1.0
Philosophy,"Philosophy. === Knowledge ===Traditionally, the term ""philosophy"" referred to any body of knowledge. In this sense, philosophy is closely related to religion, mathematics, natural science, education and politics. Newton's 1687 ""Mathematical Principles of Natural Philosophy"" is classified in the 2000s as a book of physics; he used the term ""natural philosophy"" because it used to encompass disciplines that later became associated with sciences such as astronomy, medicine and physics.",1,1.0
Chemistry,"Chemistry. Chemistry is a branch of physical science that studies the composition, structure, properties and change of matter. Chemistry includes topics such as the properties of individual atoms, how atoms form chemical bonds to create chemical compounds, the interactions of substances through intermolecular forces that give matter its general properties, and the interactions between substances through chemical reactions to form different substances.",1,1.0
Archaeology,"Archaeology. Archaeology, or archeology, In North America, archaeology is considered a sub-field of anthropology, while in Europe archaeology is often viewed as either a discipline in its own right or a sub-field of other disciplines. Archaeologists study human prehistory and history, from the development of the first stone tools at Lomekwi in East Africa 3.",1,1.0
Physiology,"Physiology. Physiology is the scientific study of normal mechanisms, and their interactions, which operate within a living system. A sub-discipline of biology, its focus is in how organisms, organ systems, organs, cells, and biomolecules carry out the chemical or physical functions that exist in a living system.",1,1.0
Linguistics,"Linguistics. Linguistics is the scientific study of language, and involves an analysis of language form, language meaning, and language in context. The earliest activities in the documentation and description of language have been attributed to the 4th century BCE Indian grammarian Pāṇini, who wrote a formal description of the Sanskrit language in his .",1,1.0
Science,"Science. Science is a systematic enterprise that builds and organizes knowledge in the form of testable explanations and predictions about the universe. Contemporary science is typically subdivided into the natural sciences, which study the material universe; the social sciences, which study people and societies; and the formal sciences, which study logic and mathematics.",1,1.0
Epistemology,"Epistemology. Epistemology is the branch of philosophy concerned with the theory of knowledge. Epistemology studies the nature of knowledge, justification, and the rationality of belief.",1,1.0
Cognitive science,"Cognitive science. Cognitive science is the interdisciplinary, scientific study of the mind and its processes. It examines the nature, the tasks, and the functions of cognition. Cognitive scientists study intelligence and behavior, with a focus on how nervous systems represent, process, and transform information. Mental faculties of concern to cognitive scientists include language, perception, memory, attention, reasoning, and emotion;",1,1.0
Political science,"Political science. Political science is a social science which deals with systems of governments, and the analysis of political activities, political thoughts and political behaviour. It deals extensively with the theory and practice of politics which is commonly thought of as determining of the distribution of power and resources.",1,1.0
Human geography,"Human geography. Human geography is the branch of social sciences that deals with the study of people and their communities, cultures, economies and interactions with the environment by studying their relations with and across space and place. Human geography attends to human patterns of social interaction, as well as spacial level interdependencies, and how they influence or affect the earth's environment.",1,0.999
Anatomy,"Anatomy. Anatomy is the branch of biology concerned with the study of the structure of organisms and their parts. Anatomy is inherently tied to embryology, comparative anatomy, evolutionary biology, and phylogeny, as these are the processes by which anatomy is generated over immediate (embryology) and long (evolution) timescales. Human anatomy is one of the basic essential sciences of medicine.",1,0.999
Statistics,"Statistics. Statistics is a branch of mathematics dealing with the collection, analysis, interpretation, presentation, and organization of data. In applying statistics to, e.g., a scientific, industrial, or social problem, it is conventional to begin with a statistical population or a statistical model process to be studied. Populations can be diverse topics such as ""all people living in a country"" or ""every atom composing a crystal.",1,0.999
Systems biology,"Systems biology. Systems biology is the computational and mathematical modeling of complex biological systems. An emerging engineering approach applied to biological scientific research, systems biology is a biology-based interdisciplinary field of study that focuses on complex interactions within biological systems, using a holistic approach (holism instead of the more traditional reductionism) to biological research.",1,0.999
Mathematical analysis,"Mathematical analysis. Mathematical analysis is the branch of mathematics dealing with limitsand related theories, such as differentiation, integration, measure, infinite series, and analytic functions. These theories are usually studied in the context of real and complex numbers and functions. Analysis evolved from calculus, which involves the elementary concepts and techniques of analysis.",1,0.999
Geography,"Geography. Geography is a systematic study of the Earth and its features. Traditionally, geography has been associated with cartography and place names. Although many geographers are trained in toponymy and cartology, this is not their main preoccupation. Geographers study the space and the temporal database distribution of phenomena, processes, and features as well as the interaction of humans and their environment.",1,0.999
Cognitive psychology,"Cognitive psychology. Cognitive psychology is the study of mental processes such as ""attention, language use, memory, perception, problem solving, creativity, and thinking"". Much of the work derived from cognitive psychology has been integrated into various other modern disciplines of psychological study, including educational psychology, social psychology, personality psychology, abnormal psychology, developmental psychology, and economics.",1,0.999
Developmental psychology,"Developmental psychology. Developmental psychology is the scientific study of how and why human beings change over the course of their life. Originally concerned with infants and children, the field has expanded to include adolescence, adult development, aging, and the entire lifespan. This field examines change across three major dimensions: physical development, cognitive development, and socioemotional development.",1,0.999
Cultural studies,"Cultural studies. Cultural studies is a field of theoretically, politically, and empirically engaged cultural analysis that concentrates upon the political dynamics of contemporary culture, its historical foundations, defining traits, and conflicts. Cultural studies researchers generally investigate how cultural practices relate to wider systems of power associated with or operating through social phenomena, such as ideology, class structures, national formations, ethnicity, sexual orientation, gender, and generation.",1,0.999
Geology,"Geology. Geology (from the Ancient Greek γῆ, gē, i.e. ""earth"" and -λoγία, -logia, i.e. ""study of, discourse"") is an earth science concerned with the solid Earth, the rocks of which it is composed, and the processes by which they change over time. Geology can also refer generally to the study of the solid features of any terrestrial planet (such as the geology of the Moon or Mars).",1,0.999
Cognitive neuroscience,"Cognitive neuroscience. Cognitive neuroscience is the scientific field that is concerned with the study of the biological processes and aspects that underlie cognition, with a specific focus on the neural connections in the brain which are involved in mental processes. It addresses the questions of how cognitive activities are affected or controlled by neural circuits in the brain.",1,0.999
Criminology,"Criminology. Criminology (from Latin , ""accusation""; and Greek , -logia) is the scientific study of the nature, extent, management, causes, control, consequences, and prevention of criminal behavior, both on the individual and social levels. Criminology is an interdisciplinary field in both the behavioral and social sciences, drawing especially upon the research of sociologists, psychologists, philosophers, psychiatrists, social anthropologists, as well as scholars of law.",1,0.999
Biochemistry,"Biochemistry. Biochemistry, sometimes called biological chemistry, is the study of chemical processes within and relating to living organisms. By controlling information flow through biochemical signaling and the flow of chemical energy through metabolism, biochemical processes give rise to the complexity of life.",1,0.999
History,"History. History (from Greek , historia, meaning ""inquiry, knowledge acquired by investigation"") is the study of the past as it is described in written documents. Events occurring before written record are considered prehistory. It is an umbrella term that relates to past events as well as the memory, discovery, collection, organization, presentation, and interpretation of information about these events.",1,0.999
Morphology (biology),"Morphology (biology). Morphology is a branch of biology dealing with the study of the form and structure of organisms and their specific structural features. This includes aspects of the outward appearance (shape, structure, colour, pattern, size), i.e. external morphology (or eidonomy), as well as the form and structure of the internal parts like bones and organs, i.",1,0.999
Epidemiology,"Epidemiology. Epidemiology is the study and analysis of the patterns, causes, and effects of health and disease conditions in defined populations. It is the cornerstone of public health, and shapes policy decisions and evidence-based practice by identifying risk factors for disease and targets for preventive healthcare. Epidemiologists help with study design, collection, and statistical analysis of data, amend interpretation and dissemination of results (including peer review and occasional systematic review).",1,0.999
Theology,"Theology. Theology is the critical study of the nature of the divine. It is taught as an academic discipline, typically in universities, seminaries and schools of divinity.",1,0.998
Ethics,"Ethics. Ethics or moral philosophy is a branch of philosophy that involves systematizing, defending, and recommending concepts of right and wrong conduct. The term ethics derives from the Ancient Greek word ἠθικός ethikos, which is derived from the word ἦθος ethos (habit, ""custom""). The branch of philosophy axiology comprises the sub-branches of ethics and aesthetics, each concerned with values.",1,0.998
Cultural anthropology,"Cultural anthropology. Cultural anthropology is a branch of anthropology focused on the study of cultural variation among humans. It is in contrast to social anthropology, which perceives cultural variation as a subset of the anthropological constant. A variety of methods are involved in cultural anthropological, including participant observation (often called fieldwork because it requires the anthropologist spending an extended period of time at the research location), interviews, and surveys.",1,0.998
Neurology,"Neurology. Neurology (from , neuron, and the suffix -logia ""study of"") is a branch of medicine dealing with disorders of the nervous system. Neurology deals with the diagnosis and treatment of all categories of conditions and disease involving the central and peripheral nervous system (and its subdivisions, the autonomic nervous system and the somatic nervous system);",1,0.998
Pharmacology,"Pharmacology. Pharmacology is the branch of biology concerned with the study of drug action, where a drug can be broadly defined as any man-made, natural, or endogenous (from within body) molecule which exerts a biochemical or physiological effect on the cell, tissue, organ, or organism (sometimes the word pharmacon is used as a term to encompass these endogenous and exogenous bioactive species).",1,0.998
Environmental science,"Environmental science. Environmental science is an interdisciplinary academic field that integrates physical, biological and information sciences (including ecology, biology, physics, chemistry, zoology, mineralogy, oceanology, limnology, soil science, geology, atmospheric science, and geodesy) to the study of the environment, and the solution of environmental problems. Environmental science emerged from the fields of natural history and medicine during the Enlightenment.",1,0.998
Natural science,"Natural science. Natural science is a branch of science concerned with the description, prediction, and understanding of natural phenomena, based on observational and empirical evidence. Mechanisms such as peer review and repeatability of findings are used to try to ensure the validity of scientific advances. Natural science can be divided into two main branches: life science (or biological science) and physical science.",1,0.998
Chemical engineering,"Chemical engineering. Chemical engineering is a branch of engineering that applies physical sciences (physics and chemistry), life sciences (microbiology and biochemistry), together with applied mathematics and economics to produce, transform, transport, and properly use chemicals, materials and energy. A chemical engineer designs large-scale processes that convert chemicals, raw materials, living cells, microorganisms and energy into useful forms and products.",1,0.998
Linguistic anthropology,"Linguistic anthropology. Linguistic anthropology is the interdisciplinary study of how language influences social life. It is a branch of anthropology that originated from the endeavor to document endangered languages, and has grown over the past century to encompass most aspects of language structure and use.",1,0.998
Phonology,"Phonology. Phonology is a branch of linguistics concerned with the systematic organization of sounds in languages. It has traditionally focused largely on the study of the systems of phonemes in particular languages (and therefore used to be also called phonemics, or phonematics), but it may also cover any linguistic analysis either at a level beneath the word (including syllable, onset and rime, articulatory gestures, articulatory features, mora, etc.",1,0.998
Hydrology,"Hydrology. Hydrology is the scientific study of the movement, distribution, and quality of water on Earth and other planets, including the water cycle, water resources and environmental watershed sustainability. A practitioner of hydrology is a hydrologist, working within the fields of earth or environmental science, physical geography, geology or civil and environmental engineering.",1,0.998
Biological anthropology,"Biological anthropology. Biological anthropology, also known as physical anthropology, is a scientific discipline concerned with the biological and behavioral aspects of human beings, their related non-human primates and their extinct hominin ancestors. It is a subfield of anthropology that provides a biological perspective to the systematic study of human beings.",1,0.998
Meteorology,"Meteorology. Meteorology is a branch of the atmospheric sciences which includes atmospheric chemistry and atmospheric physics, with a major focus on weather forecasting. The study of meteorology dates back millennia, though significant progress in meteorology did not occur until the 18th century. The 19th century saw modest progress in the field after weather observation networks were formed across broad regions.",1,0.998
Biomechanics,"Biomechanics. Biomechanics is the study of the structure and function of biological systems such as humans, animals, plants, organs, fungi, and cellsby means of the methods of mechanics.",1,0.998
Genetics,"Genetics. Genetics (from ancient Greek γένεσις, genesis) is the study of genes, genetic variation, and heredity in living organisms. It is generally considered a field of biology, but intersects frequently with many other life sciences and is strongly linked with the study of information systems. The father of genetics is Gregor Mendel, a late 19th-century scientist and Augustinian friar.",1,0.998
